GlobalID,ECO_ID
G304020,30102
G221330,30704
G187129,60301
G218713,60125
G165230,60153
G107528,80406
G038316,60310
G277759,60310
G206921,60803
G079391,51102
G294873,81217
G045154,60708
G289879,80519
G293071,80434
G059019,60703
G205474,61406
G131083,60160
G020111,80402
G329480,80804
G318408,81003
G049975,81209
G141417,80601
G276192,60173
G142548,60150
G156033,60305
G248811,50404
G277143,60303
G328568,31003
G292140,80411
G031383,40118
G264917,50811
G072229,60201
G311245,40137
G020503,50402
G323046,60113
G045157,60704
G034023,30117
G068359,80433
G323680,60117
G030041,60111
G082540,60160
G051964,50803
G034061,41405
G081367,80402
G111991,60121
G020521,51203
G117989,60209
G083352,81017
G283922,51104
G120074,40301
G270187,51307
G093179,60205
G120473,40146
G121265,50523
G335994,81329
G116527,50529
G188650,50407
G162491,31203
G030671,80608
G285438,50527
G272790,60904
G111156,60303
G052082,60217
G157210,60215
G115634,60130
G077807,60166
G276233,30704
G131739,60109
G307254,60115
G147391,30719
G029849,60138
G194415,60103
G081491,80402
G266872,30707
G131868,10103
G324018,60170
G021586,30713
G145588,60156
G197632,60206
G090718,60173
G265129,81321
G271635,80808
G313889,60125
G194106,60102
G250180,80445
G190409,30128
G113260,81211
G117925,30114
G051761,81306
G312801,80514
G116252,30102
G321098,80444
G327488,60201
G334208,40149
G028655,60107
G041790,40137
G330671,60308
G324547,60145
G335813,10109
G312115,30711
G057522,80410
G092343,61001
G182683,80437
G124875,10405
G134620,10117
G271070,80413
G315315,70114
G206267,60129
G292831,50413
G321110,81212
G078426,80805
G147506,30123
G153636,80609
G019442,80414
G292303,10406
G011607,31202
G082313,80809
G044789,50811
G134871,60173
G094348,80516
G283313,60228
G064827,50405
G104987,30708
G324692,31015
G215933,51309
G043929,51309
G008649,51302
G270580,30111
G215655,31201
G281010,80417
G200851,61305
G289678,80406
G058342,40209
G318324,80102
G092394,60308
G070208,50407
G078737,40202
G285678,81201
G322249,31320
G196463,60310
G260290,51303
G049078,60303
G221983,81204
G047874,10202
G063621,60212
G079920,31314
G150625,51304
G002337,30109
G012508,81217
G028786,80509
G211269,60703
G049912,81221
G158646,60702
G238544,40137
G031005,60142
G201521,60703
G248673,51203
G003593,40105
G123164,80427
G056868,30725
G096869,60181
G165926,40137
G031245,60143
G321285,11208
G241094,10411
G294366,80437
G158351,60105
G278060,80432
G003981,60168
G062459,61003
G265498,50410
G100866,51104
G143480,11202
G247184,50804
G278060,81111
G171614,60177
G231693,30704
G142186,60310
G250225,80436
G188875,80440
G113809,50810
G099015,50510
G330753,50302
G025810,60124
G097565,81205
G115618,50411
G107289,61315
G110062,40172
G330972,50405
G149565,81309
G013064,30102
G032493,60174
G201915,40149
G025505,60178
G071140,31004
G000534,40166
G255050,10707
G264657,40206
G177926,60176
G207128,11302
G130090,60233
G192899,30114
G013324,50302
G041274,60167
G038429,80428
G104441,10119
G165095,40103
G058701,60117
G332118,50414
G251586,60145
G333853,30704
G213856,61316
G189417,60140
G010344,81110
G284097,51303
G060777,51201
G027513,40137
G145921,30117
G017558,51203
G206404,60180
G259402,10406
G248736,31314
G116109,50605
G323494,60180
G203618,80417
G001832,60103
G079477,60303
G099627,81201
G147264,80402
G214473,60704
G201013,60114
G014149,40146
G004216,61402
G233476,81215
G285559,80436
G291947,51107
G279911,31005
G294289,80509
G016642,80424
G175874,60161
G130734,60142
G082124,80445
G116318,10402
G240793,60113
G302435,40137
G220163,40401
G244866,60106
G137745,30102
G011892,60104
G102145,60166
G100194,60150
G019598,60309
G159769,80440
G262194,11001
G101441,80102
G149236,10704
G292029,81020
G254513,40204
G039146,31202
G274796,50503
G296745,60148
G168436,60101
G277839,30709
G283871,81215
G277774,60217
G080544,51302
G158255,50403
G155543,60139
G310754,70106
G292959,40170
G117056,60136
G107777,60803
G045334,80434
G177372,30707
G074339,40171
G056649,61006
G312529,31203
G082724,51202
G321491,60166
G020307,30124
G302308,30716
G091617,60113
G016053,30706
G263418,50519
G296216,30121
G295389,30125
G119503,60103
G094934,80804
G285376,10413
G217534,30102
G260519,10803
G122056,10412
G325309,60166
G248407,50303
G273278,81222
G249313,31312
G322249,80503
G060673,60118
G032009,30118
G273200,30108
G283865,80443
G063769,60160
G124208,11002
G067604,50808
G187454,60136
G117590,11206
G197079,10112
G011282,80413
G071691,80408
G058287,50503
G202242,70202
G307052,60131
G228219,60146
G246859,60209
G275439,60119
G335233,40301
G002747,30706
G227949,60111
G009389,30716
G193588,60119
G306767,60228
G262021,61401
G082659,80436
G323902,60160
G286508,60145
G047874,60205
G015934,60178
G112807,80101
G224415,11206
G101031,50404
G099410,80433
G136707,11307
G207023,11210
G204957,30121
G196342,60168
G275456,31203
G157993,30704
G049959,80405
G290649,80816
G068481,31322
G250761,80609
G262585,50526
G144551,30706
G313129,80510
G253305,40202
G067618,50413
G008374,40119
G277866,40209
G273179,30702
G333132,60228
G013043,30721
G192091,31404
G182781,81017
G274374,60125
G184278,60166
G045259,80404
G215156,50302
G003981,60180
G067351,50503
G155563,31012
G180913,60121
G225736,10105
G032020,60145
G175188,80502
G279573,80101
G181904,40146
G211537,60207
G155554,60156
G287364,80416
G239182,40118
G313643,60908
G115052,40121
G045202,81203
G026125,60228
G264312,10202
G172208,50510
G009742,10406
G304270,30111
G269056,50813
G134179,40114
G020789,50412
G292047,50511
G294494,80409
G068425,50406
G124323,50510
G116367,50409
G124522,50402
G008649,40137
G260580,31321
G223662,60101
G142852,60109
G278373,40137
G195054,50529
G104543,60180
G085918,50503
G185799,30717
G255982,60128
G113089,81020
G057564,81215
G322008,60152
G255422,60150
G026810,60117
G077294,51104
G194627,40123
G053126,50409
G050873,50303
G201209,60142
