ECO_ID,Long,Lat,Area,Realm
50526,-115.7471698,31.67449325,4001.96,NA_Realm
50527,-120.0443358,38.58233225,52871.57,NA_Realm
50528,-111.5542565,44.60269518,159692.84,NA_Realm
50529,-84.10210177,30.2403457,236352.14,NA_Realm
50530,-111.3370245,39.92674167,41508.53,NA_Realm
50601,-156.8217892,57.12663292,48043.31,NA_Realm
50602,-83.03639446,50.55691179,463345.12,NA_Realm
50603,-150.8004745,61.44344555,28015.17,NA_Realm
50604,-145.3392335,62.16981422,17275.28,NA_Realm
50605,-64.17182694,50.36734304,488586.58,NA_Realm
50606,-68.70446792,55.05555329,757249.94,NA_Realm
50607,-152.0511237,64.83528653,446260.73,NA_Realm
50608,-109.0453595,55.81455148,369628.42,NA_Realm
50609,-99.10536739,55.00604606,548394.26,NA_Realm
50610,-120.1685223,60.40978958,263805.61,NA_Realm
50611,-57.53529179,49.05842687,16390.58,NA_Realm
50612,-105.5673325,61.45796983,617318.74,NA_Realm
50613,-129.1022462,59.27270861,264234.18,NA_Realm
50614,-125.8738052,65.27500641,348147.42,NA_Realm
50615,-54.17597772,46.84763139,2035.36,NA_Realm
50616,-85.90167372,53.85235794,375338.84,NA_Realm
50617,-134.9960506,61.32856886,62742.23,NA_Realm
50701,-94.78452444,28.95384512,80514.58,NA_Realm
50801,-120.7479243,37.55017158,55084.29,NA_Realm
50802,-108.7681645,53.07279839,399038.6,NA_Realm
50803,-99.01386307,37.37252999,282267.42,NA_Realm
50804,-93.08653078,38.02965272,407235.34,NA_Realm
50805,-94.75550144,42.77776597,248867.02,NA_Realm
50806,-99.24990592,30.3814401,61733.7,NA_Realm
50807,-96.53794288,38.23715814,29632.07,NA_Realm
50808,-112.0529854,47.14825622,81929.04,NA_Realm
50809,-100.7937897,42.04670827,61212.4,NA_Realm
50810,-103.6828281,48.67243022,219614.38,NA_Realm
50811,-105.5352498,47.01113559,640108.51,NA_Realm
50812,-97.46787015,48.79666398,76259.4,NA_Realm
50813,-118.2049271,46.62559301,46992.64,NA_Realm
50814,-96.82108512,31.61428418,50214.8,NA_Realm
50815,-102.5739297,36.98167169,435312.91,NA_Realm
51101,-147.1259399,62.07470062,152717.94,NA_Realm
51102,-110.6331645,52.87893972,12141.01,NA_Realm
51103,-142.2049754,70.3074507,98909.39,NA_Realm
51104,-155.2616151,69.04847823,130031.71,NA_Realm
51105,-68.89618437,70.23465125,9171.51,NA_Realm
51106,-161.0883922,61.0630455,151819.97,NA_Realm
51107,-162.1059611,62.85701164,97952.51,NA_Realm
51108,-149.065714,68.23078785,160646.46,NA_Realm
51109,-69.62986012,69.29084321,88522.99,NA_Realm
51110,-88.35082105,76.74136632,467508.78,NA_Realm
51111,-142.030645,64.12439665,234131.81,NA_Realm
51112,-33.633719,78.49531949,306129.09,NA_Realm
51113,-48.80778158,66.70524572,172182.45,NA_Realm
51114,-100.9624462,64.89472604,801764.75,NA_Realm
51115,-93.02441268,68.62330761,1040235.62,NA_Realm
51116,-133.0095684,64.23836622,209807.52,NA_Realm
51117,-139.8062612,59.35855705,107361.89,NA_Realm
51118,-64.06199225,58.6855684,32462.96,NA_Realm
51201,-117.1449624,32.99007587,36249.37,NA_Realm
51202,-121.1111021,37.29425834,64627.37,NA_Realm
51203,-119.1142231,34.96245713,20406.51,NA_Realm
51301,-113.5889132,27.82693561,77590.46,NA_Realm
51302,-101.2164271,21.41764446,59194.9,NA_Realm
51303,-105.1289531,29.68726073,508891.63,NA_Realm
51304,-109.2895456,36.83440992,326501.02,NA_Realm
51305,-115.5612858,39.77718278,336212.3,NA_Realm
51306,-112.0373479,26.64129617,23536.7,NA_Realm
51307,-101.8427802,23.73817192,124975.11,NA_Realm
51308,-116.1077331,35.74750582,130647.07,NA_Realm
51309,-117.4202299,43.63358902,218532.87,NA_Realm
51310,-113.0215834,31.91925384,222842.63,NA_Realm
51311,-99.50176136,25.08810066,16236.77,NA_Realm
51312,-99.4525061,27.19670086,141231.06,NA_Realm
51313,-108.3573839,42.34406285,132577.07,NA_Realm
60101,-51.22048318,-26.42707472,215673.18,NT
60102,-44.87722829,-22.87729139,7850.29,NT
60103,-39.93031272,-16.7614581,109305.11,NT
60104,-42.01009674,-18.28003424,229241.29,NT
60105,-67.07135613,-15.72010816,90229.2,NT
60106,-40.09101557,-4.204380119,4776.27,NT
60107,-71.9905028,0.749324199,183358.31,NT
60108,-72.21941513,9.06117121,22752.76,NT
60109,-75.9608776,4.884492348,31915.27,NT
60110,-82.15394307,13.36461831,94.83,NT
60111,-85.66811826,14.33755585,89449.87,NT
60112,-89.06212316,14.69040358,13251.12,NT
60113,-92.1709905,16.86377844,5758.94,NT
60114,-94.10931749,16.68987214,2076.66,NT
60115,-77.34735889,5.77478535,73305.12,NT
60116,-87.06148223,5.529990621,24.76,NT
60117,-66.31150282,10.2372929,14281.62,NT
60118,-73.37672955,5.973496391,67577.15,NT
60119,-85.04961924,10.42729697,10653.46,NT
60120,-78.06357497,21.25154322,21339.27,NT
60121,-78.48331115,-2.755161509,102062.35,NT
60122,-77.84587532,8.026345698,3031.21,NT
60123,-32.43224739,-3.85827405,18.82,NT
60124,-63.08104198,4.261947596,145961.16,NT
60125,-56.43555487,4.265636458,476153.11,NT
60126,-53.52277446,-1.974011202,9880.95,NT
60127,-71.08481734,18.94239593,45813.54,NT
60128,-73.40384701,-6.230781827,114506.42,NT
60129,-82.48854811,10.20200049,58358.92,NT
60130,-82.02649871,8.412759637,29175.97,NT
60131,-77.28451516,18.18919998,8269.56,NT
60132,-65.45232482,-0.956066859,268444.38,NT
60133,-66.55204226,-5.362194648,241492.82,NT
60134,-62.2227062,16.57217797,986.45,NT
60135,-60.35151677,-8.881250714,716681.88,NT
60136,-74.50193328,5.545285068,104598.33,NT
60137,-74.89611498,8.260650683,76440,NT
60138,-50.35056649,-0.327145609,88304.99,NT
60139,-43.73037741,-4.294118835,141635.14,NT
60140,-53.48025046,-10.21150182,412313.93,NT
60141,-60.67968899,-4.390174519,66506.14,NT
60142,-75.8200612,-1.980413075,250590.93,NT
60143,-67.57191629,2.250396883,200931.9,NT
60144,-42.43434414,-2.814619859,10010.92,NT
60145,-77.60271866,2.211115186,80806.07,NT
60146,-96.56365882,18.3249931,7576.92,NT
60147,-61.1758766,8.827857125,28028.21,NT
60148,-92.3193046,18.09077067,17152.91,NT
60149,-55.74007985,5.707113275,7690.31,NT
60150,-51.87624787,-23.48921553,482878.76,NT
60151,-35.63705198,-8.807961317,17501.67,NT
60152,-36.17648483,-8.903919932,22597.1,NT
